,categ_location,location
155,Arcades and fun centers,Hot to Trotsky's Ice-Skating Rink
156,Arcades and fun centers,Itchy & Scratchy Land (Theme Park)
157,Arcades and fun centers,Noise Land Video Arcade
158,Arcades and fun centers,Rocket To Your Doom
159,Arcades and fun centers,Simpson Laser Tag
160,Arcades and fun centers,Sir Putt-A-Lot's Merrie Olde Fun Centre
161,Arcades and fun centers,Skates 'n' Such Ice Rink
162,Arcades and fun centers,Slide Factory
163,Arcades and fun centers,Testoster-Zone
164,Arcades and fun centers,Wall E. Weasel's
165,Arcades and fun centers,Zip Zap and 'Za Pizza Arcade
166,Businesses,$50 Marmalade
167,Businesses,'Muff Said
168,Businesses,1987 Calendars!!!
169,Businesses,33 cents Store
170,Businesses,99¢ Furniture Store
171,Businesses,A Bug's Death Exterminators
172,Businesses,Abandoned Store
173,Businesses,Abercrombie & Rich
174,Businesses,Abercrombie & The Other Guy
175,Businesses,Abercrombie and Rich
176,Businesses,Aced Shoe
177,Businesses,Acne Grease and Shovel
178,Businesses,Acne Grease Co.
179,Businesses,Adam & Adam
180,Businesses,Age of Heroes
181,Businesses,"Ah, Fudge! Factory"
182,Businesses,Air Springfield
183,Businesses,Airport Bar
184,Businesses,Ajax Steel Mill
185,Businesses,Al's Work
186,Businesses,Ale House
187,Businesses,All Creatures Great and Cheap
188,Businesses,All Trees $75
189,Businesses,Allied Vestment Brokers
190,Businesses,Amalgamated Pornography
191,Businesses,America's Apparel
192,Businesses,Amoré
193,Businesses,The Android's Dungeon & Baseball Card Shop
194,Businesses,Appropriations Cultural Artifacts
195,Businesses,Arby's
196,Businesses,Are We Hair Yet?
197,Businesses,The Aristocrat
198,Businesses,Armstead's Mopeds
199,Businesses,Around the World News
200,Businesses,Asia de Cuba
201,Businesses,Au Naturel
202,Businesses,AutoLand
203,Businesses,Aztec Theater
204,Businesses,Bagel Boy
205,Businesses,Bail Bonds
206,Businesses,Bail Bonds and Beyond
207,Businesses,Bait Shop
208,Businesses,Bakery
209,Businesses,Bar
210,Businesses,Bard Lad
211,Businesses,Barnacle Bill's Anger Management Center
212,Businesses,Barney's Bowlarama
213,Businesses,Baron Von's Munch House
215,Businesses,Beachcomber Barber Shop
216,Businesses,Bear Patrol
217,Businesses,Beekeeper
218,Businesses,Berger's Burgers
219,Businesses,Best in the West Barbecue Sauce
220,Businesses,Big T Burgers & Fries
221,Businesses,Big T Theatre
222,Businesses,Big Theatre
223,Businesses,Bigger Brothers Agency
224,Businesses,Bikini Atol
225,Businesses,Bikini Shop
226,Businesses,BizzFad
227,Businesses,Bloaters at the Squidport
228,Businesses,Blockbuster Video
229,Businesses,Blocko
230,Businesses,Blocko Store
231,Businesses,Bloodbath & Beyond Gun Shop
232,Businesses,Bob's RV Round-Up
233,Businesses,Bog Bath and Beyond
234,Businesses,Bon Dormir
235,Businesses,The Boob Tubery
236,Businesses,Book Cellar
237,Businesses,Bookaccino's
238,Businesses,Books
239,Businesses,Bookstore
240,Businesses,Boris' Car Loft
241,Businesses,Boys R Us
243,Businesses,Broken Dreams Storage Lockers
244,Businesses,Broken-Home Chimney Repair
245,Businesses,Brown Derby
246,Businesses,Builders' Barn
247,Businesses,Burger Plate
248,Businesses,Burns & Noble
249,Businesses,Burns Construction Co.
251,Businesses,Burns Slant Drilling Co.
252,Businesses,Burns Weekly
253,Businesses,BurnsoDyne
254,Businesses,"Burp, Barf & Beyond"
255,Businesses,Bus Depot
256,Businesses,By the Numbers Productions
257,Businesses,Cafe
258,Businesses,Café Kafka
259,Businesses,Call Me Delish-Mael Taffy Shop
261,Businesses,Cameras
262,Businesses,Candy Most Dandy
263,Businesses,Capital City Deli
264,Businesses,Capital City Duff Brewery
265,Businesses,Capital City Nuclear Power Plant
266,Businesses,Captain Blip's Zapateria
268,Businesses,Car Wash
269,Businesses,Carmel Corn Warehouse
270,Businesses,Catfish Lake Bait Store
271,Businesses,Cha Cha
272,Businesses,Chalmskinn Interactive
273,Businesses,Chalmskinn Productions
274,Businesses,Cheers
275,Businesses,Chez Guevara
276,Businesses,Chez Nous
277,Businesses,Chez Paree
278,Businesses,Chicago Tribune
279,Businesses,The China Syndrome
280,Businesses,ChoreMonkey
281,Businesses,Christian Science Reading Room
282,Businesses,Chupo's Candy Store
283,Businesses,Cinderblock Village
284,Businesses,Circuit Circus
285,Businesses,Circus of Values
286,Businesses,Cisc O'systems
287,Businesses,Classy Girls Strip Club
288,Businesses,Classy Joe's
289,Businesses,Clay Jars
291,Businesses,Club
292,Businesses,Cockamamie's
293,Businesses,Coffee & Tea
294,Businesses,Coffee Bar
295,Businesses,Coffee House
296,Businesses,Coffee Shop (Bowlarama)
297,Businesses,Coffee Shop (mall)
298,Businesses,Coffee Shop (Towne Centre)
299,Businesses,Colonel Tex's Traveling Carnival
300,Businesses,Comic Book Guy's Bar
301,Businesses,Compu-Global-Hyper-Mega-Net
302,Businesses,Computer Hospital
303,Businesses,Conformco
304,Businesses,Cookie Colossus
305,Businesses,Cookie Mart
306,Businesses,Coolsville Comics & Toys
307,Businesses,The Copy Jalopy
308,Businesses,Costington's
309,Businesses,CostMo
310,Businesses,Costumes
311,Businesses,Courtyard by Airport
312,Businesses,Crafty Art's Arts and Crafts
313,Businesses,Crazy Clown Airlines
314,Businesses,Crazy E.T.'s Phone Home
315,Businesses,Crazy Ethel’s Daycare
316,Businesses,Crazy Vaclav's Place of Automobiles
317,Businesses,Cropduster Video
318,Businesses,Crouching Tiger Hidden Eggroll
319,Businesses,Cypress Creek Promenade
320,Businesses,Da Buzz Club
321,Businesses,Davey Jones' Hamper
322,Businesses,David's Merkins
323,Businesses,Dayton Arms Hotel
324,Businesses,Dead Lobster
325,Businesses,Dentz
326,Businesses,Denver Broncos
327,Businesses,Department of Motor Vehicles
328,Businesses,Der Krazy Kraut
329,Businesses,Devil Donuts
330,Businesses,Dimwillie's
331,Businesses,Dingo Junction
332,Businesses,Discount Fashion
333,Businesses,Diz-Nee Land
334,Businesses,Donner's Party Supplies
335,Businesses,Donny's Discount Gas
336,Businesses,Down with Buildings Demolition Co.
337,Businesses,Downer's Party Supplies
338,Businesses,Dr. Zitsofsky's Dermatology Clinic
339,Businesses,The Drunk Paralegal Karaoke Supplier
340,Businesses,Drunken Donuts
341,Businesses,Dudley Do-Drugs
343,Businesses,Duff Brewery
344,Businesses,The Ear Piercery
345,Businesses,Eatie Gourmet's
346,Businesses,Econo-Save
347,Businesses,Edmund Scientific Co.
348,Businesses,Edna's Edibles
349,Businesses,EFCOT Center
350,Businesses,Elec-Taurus Dealership
351,Businesses,"Electronics, Etc."
352,Businesses,Emil's Fluffy Pillows
353,Businesses,Evening Standard
354,Businesses,Ex-Con Home Security
355,Businesses,Expensive Bros. Jewelry
356,Businesses,Expressions
357,Businesses,Eye Caramba
359,Businesses,Fake Vomit Inc.
360,Businesses,Fancy Farms
361,Businesses,Farmer Billy's Bacon Factory
362,Businesses,Farmer Homer's Sweet Sweet Sugar
364,Businesses,FBI Springfield Branch
366,Camps,Billionaire Camp
367,Camps,Camp Deadly
368,Camps,Camp Flab-Away
369,Camps,Camp Land-A-Man
370,Camps,Camp See-A-Tree
371,Camps,Chief Starving Bear Weight Loss Center
372,Camps,Expressions
373,Camps,Kamp Krusty (location)
374,Camps,Lazy I Ranch
375,Camps,Millionaire Camp
376,Camps,"Old, abandoned summer-camp"
377,Camps,Serenity Ranch
378,Camps,The Rolling Stones Rock N' Roll Fantasy Camp
379,Companies,20th Century Studios Home Entertainment
380,Companies,A.S.S.
381,Companies,Abbattoir & Costello LLC.
382,Companies,Acne Grease and Shovel
383,Companies,Acne Grease Co.
384,Companies,Action Video
385,Companies,Air China
386,Companies,Air Springfield
388,Companies,Allied Vestment Brokers
389,Companies,Amalgamated Pornography
390,Companies,Amalgamated Spats
391,Companies,Animal Assistants
392,Companies,Are We There Yet? Travel Guides
393,Companies,AutoLand
394,Companies,Ay Caramba Entertainment
395,Companies,Aztec Theater
396,Companies,Baltimore Opera Hat Company
397,Companies,Baron Von's Munch House
398,Companies,Best in the West Barbecue Sauce
399,Companies,BetterThanTV.com
400,Companies,Bigger Brothers Agency
401,Companies,BizzFad
402,Companies,Bleeding Fingers Music
403,Companies,Blockbuster Video
404,Companies,Blocko
406,Companies,Burns Construction Co.
407,Companies,Burns Slant Drilling Co.
408,Companies,BurnsoDyne
409,Companies,Buzz Cola
410,Companies,By the Numbers Productions
411,Companies,Call Me Delish-Mael Taffy Shop
412,Companies,Capital City Duff Brewery
413,Companies,CBS
414,Companies,Cha Cha
415,Companies,ChoreMonkey
416,Companies,Cisc O'systems
417,Companies,Classy Joe's
418,Companies,Clumsy Student Movers
419,Companies,Colonel Tex's Traveling Carnival
421,Companies,Compu-Global-Hyper-Mega-Net
422,Companies,Conformco
423,Companies,Congreve's Inflammable Powders
424,Companies,The Copy Jalopy
425,Companies,Costington's
426,Companies,Crazy Clown Airlines
427,Companies,Crazy Vaclav's Place of Automobiles
428,Companies,Cruller World
429,Companies,Disney+
430,Companies,Down with Buildings Demolition Co.
431,Companies,Duff Beer
432,Companies,Econo-Save
433,Companies,Edmund Scientific Co.
434,Companies,Emil's Fluffy Pillows
435,Companies,Ex-Con Home Security
436,Companies,Fake Vomit Inc.
437,Companies,Festival Cruise Lines
438,Companies,Flancrest Enterprises
439,Companies,Flashmouth
440,Companies,Foster Big Lager
441,Companies,Fourth Reich Motors
442,Companies,FOX
443,Companies,Fox Corporation
444,Companies,Fudge Brothers Van
446,Companies,Gentleman's Relief Productions
447,Companies,Ginormous Pictures
448,Companies,Guinness Brewery
449,Companies,Hanna-Barbera
450,Companies,Hewlett Fitzpackard
451,Companies,The Itchy & Scratchy Store
452,Companies,Johnson's Teleporters
453,Companies,Kingpin Malt Liquor
454,Companies,Kliff's Kar Chalet
455,Companies,Knoxville Bonded Courier Service
456,Companies,Krusty Burger
457,Companies,Kumatsu Motors
458,Companies,Kwazy Klown Airlines
459,Companies,L.A. Body Works
460,Companies,La-Z-Mom Baby Monitor
461,Companies,Laramie Cigarettes
462,Companies,"Laser Edit, Inc."
463,Companies,Li'l Bastard
464,Companies,Little Lisa Recycling Plant
465,Companies,Mail Order Brides
467,Companies,Martian Vacations
468,Companies,McMahon and Tate Advertising
469,Companies,Mick-rosoft
470,Companies,Mixar
471,Companies,MoneyBank
472,Companies,Mr. Sparkle Factory
473,Companies,NASA Headquarters
474,Companies,National Ringworm Association
475,Companies,Native American Ice Cream
476,Companies,Nick's Bowling Shop
477,Companies,Omni-Pave
478,Companies,Omnitouch
479,Companies,Osaka Seafood Concern
480,Companies,Otto Cab Co.
481,Companies,Paint
482,Companies,Pest Bye
483,Companies,PetroChem Petrochemical Corporation
484,Companies,Pharm-Er John’s Pharmaceuticals
485,Companies,Pool Sharks
488,Companies,Powell Motors
489,Companies,Representations
490,Companies,Rolling Donut
491,Companies,Royalty Cruises
492,Companies,Schuman Farms
493,Companies,Sea World
494,Companies,Secret Meeting Catering
495,Companies,Seth MacFarlane
496,Companies,Simpson & Son Grease Co.
497,Companies,Sit-N-Stare Bus Lines
498,Companies,Slash-Co Knives
499,Companies,Solvang Air
500,Companies,Sony Pictures Studios
501,Companies,Southern Cracker
502,Companies,Springfield Airways
503,Companies,Springfield Gas Company
504,Companies,Springfield Subatomic Supercollider
505,Companies,Star+
506,Companies,Starbucks
507,Companies,Starving Teachers Moving Co.
509,Companies,Surly Joe's Foundation Repair
510,Companies,Technicolor Creative Services
511,Companies,The Christian Science Monitor
512,Companies,The Covet House
513,Companies,The Seatery
514,Companies,The Springfield Inquisitor
515,Companies,The Walt Disney Company
516,Companies,Tipsy McStagger's Goodtime Eating and Drinking Emporium
517,Companies,TODD-AO/Glen Glenn Studios
518,Companies,Transatlantic Zeppelins
519,Companies,Trash-Co
520,Companies,Twirl King World Yo-Yo Champions
521,Companies,U-Break-It Van Rental
522,Companies,U.S. Hay
523,Companies,Uncle Homer's Daycare Center
524,Companies,Unitel
525,Companies,Van Brunt & Churchill Ad Agency
526,Companies,Vinnie's Brooklyn Furniture
527,Companies,Viza
528,Companies,Wang Computers
529,Companies,Witness Relocation Program
530,Companies,World Van Lines
531,Companies,Worldwide Shipping
532,Companies,Yellow Sky Studios
533,Companies,Ziffcorp
534,Counties,Cornwall
535,Counties,Six Toe County
536,Counties,Spittle County
537,Counties,Springfield County
538,Counties,Swartzwelder County
539,Counties,Yorkshire
540,Countries,Afghanistan
541,Countries,Albania
542,Countries,Algeria
543,Countries,Andorra
544,Countries,Angola
545,Countries,Argentina
546,Countries,Armenia
547,Countries,Aruba
549,Countries,Australia
550,Countries,Austria
551,Countries,Azerbaijan
552,Countries,The Bahamas
553,Countries,Bangladesh
554,Countries,Bartovia
555,Countries,Belarus
556,Countries,Belgium
557,Countries,Belize
558,Countries,Bermuda
559,Countries,Bolivia
560,Countries,Bosnia-Herzegovina
561,Countries,Botswana
563,Countries,Brazil
564,Countries,Brunei
565,Countries,Bulgaria
566,Countries,Burkina Faso
567,Countries,Burma
568,Countries,Butabitari
569,Countries,Cambodia
570,Countries,Cameroon
571,Countries,Canada
573,Countries,Chile
574,Countries,Colombia
575,Countries,Costa Rica
576,Countries,Ivory Coast
583,Countries,Croatia
584,Countries,Cuba
585,Countries,Cyprus
586,Countries,Czech Republic
587,Countries,Czechoslovakia
588,Countries,Democratic Republic of the Congo
589,Countries,Denmark
591,Countries,Djibouti
592,Countries,Dominican Republic
593,Countries,Ecuador
594,Countries,Egypt
595,Countries,El Salvador
596,Countries,England
598,Countries,Estonia
600,Countries,Fiji
601,Countries,Finland
602,Countries,France
603,Countries,French Polynesia
604,Countries,Georgia (country)
605,Countries,Germany
606,Countries,Ghana
607,Countries,Greece
608,Countries,Greenland
609,Countries,Guatemala
610,Countries,Guyana
611,Countries,Haiti
612,Countries,Hungary
613,Countries,Iceland
614,Countries,India
615,Countries,Indonesia
616,Countries,Iran
617,Countries,Iraq
618,Countries,Ireland
619,Countries,Israel
620,Countries,Italy
621,Countries,Jamaica
622,Countries,Japan
623,Countries,Jordan
624,Countries,Jordan (country)
625,Countries,Kenya
626,Countries,Kiribati
627,Countries,Kosovo
628,Countries,Laos
629,Countries,Latvia
630,Countries,Lebanon
631,Countries,Libya
632,Countries,Lithuania
633,Countries,Madagascar
634,Countries,Malaysia
635,Countries,Mexico
637,Countries,Micronesia
638,Countries,Monaco
639,Countries,Mongolia
640,Countries,Morocco
641,Countries,Mozambique
642,Countries,Namibia
644,Countries,Netherlands
645,Countries,New Zealand
647,Countries,Nigeria
648,Countries,Niue
650,Countries,North Korea
651,Countries,Northern Ireland
653,Countries,Norway
654,Countries,Pakistan
655,Countries,Panama
656,Countries,Papua New Guinea
657,Countries,Paraguay
658,Countries,People's Republic of China
659,Countries,Peru
660,Countries,Philippines
661,Countries,Places visited by the Simpson family
662,Countries,Poland
663,Countries,Polynesia
664,Countries,Portugal
665,Countries,Rand McNally
666,Countries,Republic of China
667,Countries,Romania
668,Countries,Russia
669,Countries,Samoa
670,Countries,Saudi Arabia
672,Countries,Scotland
673,Countries,Serbia
674,Countries,Singapore
675,Countries,Slovakia
676,Countries,Solomon Islands
677,Countries,Somalia
678,Countries,South Africa
679,Countries,South Korea
680,Countries,Spain
681,Countries,Sudan
682,Countries,Suriname
684,Countries,Sweden
685,Countries,Switzerland
686,Countries,Syria
687,Countries,Tahiti
688,Countries,Tanzania
689,Countries,Thailand
690,Countries,The Gambia
691,Countries,The Old Country
692,Countries,Tibet
693,Countries,Tonga
694,Countries,Trinidad and Tobago
695,Countries,Tunisia
696,Countries,Turkey
697,Countries,Turkmenistan
698,Countries,Uganda
699,Countries,Ukraine
700,Countries,United Arab Emirates
701,Countries,United Kingdom
703,Countries,United States
704,Countries,Uruguay
705,Countries,Uzbekistan
706,Countries,Vanuatu
707,Countries,Venezuela
708,Countries,Vietnam
709,Countries,Wales
711,Countries,Yemen
712,Countries,Zambia
713,Countries,Zimbabwe
714,Homes,1 Ocean View Drive
715,Homes,123 Fake Street
716,Homes,13 Euclid Street
717,Homes,15201 Maple Systems Road
718,Homes,19 Fish Smell Drive
719,Homes,257th Street
720,Homes,316 Pikeland Ave.
721,Homes,534 Center Street
722,Homes,57 Walnut Street
723,Homes,652 8th Avenue
724,Homes,725 Evergreen Terrace
725,Homes,732 Evergreen Terrace
726,Homes,734 Evergreen Terrace
727,Homes,738 Evergreen Terrace
728,Homes,740 Evergreen Terrace (Brown House)
729,Homes,742 Evergreen Terrace
730,Homes,743 Evergreen Terrace
731,Homes,744 Evergreen Terrace
732,Homes,754 Evergreen Terrace
733,Homes,82 Evergreen Terrace
734,Homes,Abe's and Selma's House
735,Homes,Alberto's House
736,Homes,Alec and Kim's house
738,Homes,Apu's apartment
739,Homes,Apu's Taj Mahal
740,Homes,Bachelor Arms
741,Homes,Barney's apartment
742,Homes,Bin Laden family's house
743,Homes,Birthplace of Jebediah Springfield
744,Homes,Birthplace of Jesus (Disputed)
745,Homes,Birthplace of Matt Groening
746,Homes,Bob's Victorian House
747,Homes,Bouvier House
748,Homes,Broken Dreams Storage Lockers
749,Homes,Burns Manor
750,Homes,Bush House
751,Homes,Capitol City Apartments
752,Homes,Chalmers house
753,Homes,Chateau Maison
754,Homes,Colonel Burns' Manor
755,Homes,Condos at Towne Centre at Springfield Glenne
756,Homes,Cosmic Wars Ranch
757,Homes,The Creator's Mansion
758,Homes,Creepy Family's House
759,Homes,Dexter family's house
760,Homes,Elizabeth Hoover's House
762,Homes,Evil House
763,Homes,Fat Tony's house
764,Homes,Freaky Family House
765,Homes,German Castle
766,Homes,Gold House
767,Homes,Graceland
768,Homes,Hiram Simpson's house
769,Homes,Home of Tomorrow
770,Homes,Homer and Mindy's Mansion
771,Homes,House near Rendering Plant
773,Homes,Karl's Apartment
774,Homes,Kent Brockman's mansion
775,Homes,Krusty's Apartment
776,Homes,Krusty's Mansion
777,Homes,La Maison Derrière
778,Homes,Lenny Leonard's house
779,Homes,Lisa's House (future)
780,Homes,Maggie's Imaginary Future House
782,Homes,Mav's and Portia's house
783,Homes,Mav's and Portia's ski house
784,Homes,Mayor Quimby's mansion
785,Homes,Mike's House
786,Homes,Moe's Apartment
787,Homes,Mr. Burns' Middle Hampton Mansion
788,Homes,Mr. Burns' Summer Mansion
789,Homes,Mrs. Bellamy's House
790,Homes,Murder House
791,Homes,Murder scene location
792,Homes,Old Jewish Man's House
793,Homes,Old Simpson Farm
794,Homes,The Peak Inn
795,Homes,Pepi's House
796,Homes,Powell Mansion
797,Homes,Powers' House
798,Homes,Prince House
799,Homes,Quimbebunkport Estates
800,Homes,Rainier Wolfcastle's Mansion
801,Homes,The Raven Chamber
802,Homes,Sanjay's House
803,Homes,Sherri and Terri's House
804,Homes,Simpson House Boat
805,Homes,Ski Chalet
806,Homes,Skinner's House
807,Homes,Springfield Arms
808,Homes,Springfield Bachelor Apartments
809,Homes,Springfield Place
810,Homes,Spuckler Home
811,Homes,Stacy Lovell's House
812,Homes,Taylor House
813,Homes,Terror Lake
814,Homes,The Happy Gypsy
815,Homes,The Lofts at Springfield Elementary
816,Homes,The Lonely Arms
817,Homes,Trent Steele's Home
818,Homes,Van Houten villa
819,Homes,Victim's house
820,Homes,Village Apartments
821,Homes,Virgil Simpson's house
822,Homes,Waylon Smithers' house
823,Homes,White House
824,Homes,Willie's shack
825,Homes,Ziff Mansion
826,Houses with unknown addresses,Abe's and Selma's House
827,Houses with unknown addresses,Alberto's House
828,Houses with unknown addresses,Alec and Kim's house
829,Houses with unknown addresses,Apu's apartment
830,Houses with unknown addresses,Barney's apartment
831,Houses with unknown addresses,Bin Laden family's house
832,Houses with unknown addresses,Bouvier House
833,Houses with unknown addresses,Bush House
834,Houses with unknown addresses,Dexter family's house
835,Houses with unknown addresses,Elizabeth Hoover's House
836,Houses with unknown addresses,Evil House
837,Houses with unknown addresses,Fat Tony's house
838,Houses with unknown addresses,Gold House
839,Houses with unknown addresses,Homer and Mindy's Mansion
840,Houses with unknown addresses,House near Rendering Plant
841,Houses with unknown addresses,Kent Brockman's mansion
842,Houses with unknown addresses,Krusty's Apartment
843,Houses with unknown addresses,Krusty's Mansion
844,Houses with unknown addresses,Lenny Leonard's apartment
845,Houses with unknown addresses,Lenny Leonard's house
846,Houses with unknown addresses,Mav's and Portia's house
847,Houses with unknown addresses,Mav's and Portia's ski house
848,Houses with unknown addresses,Mayor Quimby's mansion
849,Houses with unknown addresses,Mike's House
850,Houses with unknown addresses,Mr. Burns' Summer Mansion
851,Houses with unknown addresses,Murder House
852,Houses with unknown addresses,Murder scene location
853,Houses with unknown addresses,Old Simpson Farm
854,Houses with unknown addresses,Parkfield Manor
855,Houses with unknown addresses,The Peak Inn
856,Houses with unknown addresses,Prince House
857,Houses with unknown addresses,Quimbebunkport Estates
858,Houses with unknown addresses,Rainier Wolfcastle's Mansion
859,Houses with unknown addresses,Taylor House
860,Houses with unknown addresses,Victim's house
861,Houses with unknown addresses,Waylon Smithers' house
862,Houses with unknown addresses,Ziff Mansion
863,Lakes,Catfish Lake
864,Lakes,Lake Springfield
865,Lakes,Lake Tahoe
866,Lakes,Loch Ness
867,Lakes,Lower Springfield Lake
868,Lakes,Nuclear Lake
869,Lakes,Terror Lake
870,Location stubs,19 Fish Smell Drive
871,Location stubs,1987 Calendars!!!
872,Location stubs,725 Evergreen Terrace
873,Location stubs,82 Evergreen Terrace
874,Location stubs,99¢ Shrink
875,Location stubs,Abandoned Store
876,Location stubs,Alley
877,Location stubs,Apu's apartment
878,Location stubs,Bob's Burgers (restaurant)
879,Location stubs,Brighton
880,Location stubs,Calmwood Mental Hospital
881,Location stubs,Cameras
882,Location stubs,Chez Paree
883,Location stubs,Child Psychiatrist
884,Location stubs,Chinatown
885,Location stubs,Chuck Dukewagon's All American Chow Lounge
886,Location stubs,Circuit Circus
887,Location stubs,Coffee Shop (Bowlarama)
888,Location stubs,Ivory Coast
889,Location stubs,Deuce's Caboose Chili Dogs
890,Location stubs,Echo Canyon (location)
891,Location stubs,Evergreen Terrace
892,Location stubs,Family Guy World
893,Location stubs,First Bank of Springfield
894,Location stubs,Forgotten Amos Cookies
895,Location stubs,Fort Springfield
896,Location stubs,Frigid Falls
897,Location stubs,Garbage Island
